"Curation";"Variable ID";"Variable name";"Variable synonyms";"Context of use";"Growth stage";"Variable status";"Variable Xref";"Institution";"Scientist";"Date";"Language";"Crop";"Trait ID";"Trait name";"Trait class";"Trait description";"Trait synonyms";"Main trait abbreviation";"Alternative trait abbreviations";"Entity";"Attribute";"Trait status";"Trait Xref";"Method ID";"Method name";"Method class";"Method description";"Formula";"Method reference";"Scale ID";"Scale name";"Scale class";"Decimal places";"Lower limit";"Upper limit";"Scale Xref";"Category 1";"Category 2";"Category 3";"Category 4";"Category 5";"Category 6";"Category 7";"Category 8";"Category 9";"Category 10";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001034";"BM_Calc_gm2";"BM_g_m2";"Trial evaluation";"After physiological maturity (DS87)";;"BMS_29020";"CIMMYT";"Rosemary Shrestha, Julian Pietragalla";"25-oct-15";"EN";"Wheat";"CO_321:0000005";"Aboveground biomass at maturity";"Agronomical traits";"All above-ground biomass at maturity.";"Biological yield";"BM";"AGBM, BMMat, BIOMAS";"Plant";"Aboveground biomass at maturity";;;"CO_321:0001027";"BM Computation";"Computation";"Cut all aboveground biomass in a predetermined area (A). Avoid border effects by sampling away from edges of plot. Biomass as other yield components can be calculated or measured individually (Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012), decide which method suit better for your objectives.";"xxxx";"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012";"CO_321:0000805";"g/m2";"Numerical";"0.0";"0.0";"100.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001035";"BM_Calc_kgha";"BM_kg_ha";"Trial evaluation";"After physiological maturity (DS87)";;"BMS_29022";"CIMMYT";"Rosemary Shrestha, Julian Pietragalla";"25-oct-15";"EN";"Wheat";"CO_321:0000005";"Aboveground biomass at maturity";"Agronomical traits";"All above-ground biomass at maturity.";"Biological yield";"BM";"AGBM, BMMat, BIOMAS";"Plant";"Aboveground biomass at maturity";;;"CO_321:0001027";"BM Computation";"Computation";"Cut all aboveground biomass in a predetermined area (A). Avoid border effects by sampling away from edges of plot. Biomass as other yield components can be calculated or measured individually (Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012), decide which method suit better for your objectives.";"xxxx";"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012";"CO_321:0000804";"kg/ha";"Numerical";"0.0";"0.0";"20000.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001036";"BM_Calc_tha";"BM_t_ha";"Trial evaluation";"After physiological maturity (DS87)";;"BMS_18010";"CIMMYT";"Rosemary Shrestha, Julian Pietragalla";"23-sept-14";"EN";"Wheat";"CO_321:0000005";"Aboveground biomass at maturity";"Agronomical traits";"All above-ground biomass at maturity.";"Biological yield";"BM";"AGBM, BMMat, BIOMAS";"Plant";"Aboveground biomass at maturity";;;"CO_321:0001027";"BM Computation";"Computation";"Cut all aboveground biomass in a predetermined area (A). Avoid border effects by sampling away from edges of plot. Biomass as other yield components can be calculated or measured individually (Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012), decide which method suit better for your objectives.";"xxxx";"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012";"CO_321:0000432";"t/ha";"Numerical";"2.0";"0.0";"20.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001037";"BM_M_gPlnt";"BM_g_pl";"Trial evaluation";"After physiological maturity (DS87)";;"BMS_29903";"CIMMYT";"Rosemary Shrestha, Julian Pietragalla";"25-oct-15";"EN";"Wheat";"CO_321:0000005";"Aboveground biomass at maturity";"Agronomical traits";"All above-ground biomass at maturity.";"Biological yield";"BM";"AGBM, BMMat, BIOMAS";"Plant";"Aboveground biomass at maturity";;;"CO_321:0000229";"BM Measurement";"Measurement";"Cut all aboveground biomass in a predetermined area (A). Avoid border effects by sampling away from edges of plot. Biomass as other yield components can be calculated or measured individually (Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012), decide which method suit better for your objectives.";;"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012";"CO_321:0001431";"g/plant";"Numerical";"1.0";"0.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001038";"BM_M_gPlot";"BM_g_plot";"Trial evaluation";"After physiological maturity (DS87)";;"BMS_22668";"CIMMYT, T3";"Rosemary Shrestha, Julian Pietragalla, Jean-Luc Jannink";"25-oct-15";"EN";"Wheat";"CO_321:0000005";"Aboveground biomass at maturity";"Agronomical traits";"All above-ground biomass at maturity.";"Biological yield";"BM";"AGBM, BMMat, BIOMAS";"Plant";"Aboveground biomass at maturity";;;"CO_321:0000229";"BM Measurement";"Measurement";"Cut all aboveground biomass in a predetermined area (A). Avoid border effects by sampling away from edges of plot. Biomass as other yield components can be calculated or measured individually (Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012), decide which method suit better for your objectives.";;"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012";"CO_321:0000412";"g/plot";"Numerical";"1.0";"0.0";"12000.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001039";"BM_M_kgPlot";"BM_kg_plot";"Trial evaluation";"After physiological maturity (DS87)";;"BMS_22669";"CIMMYT";"Rosemary Shrestha, Julian Pietragalla";"25-oct-15";"EN";"Wheat";"CO_321:0000005";"Aboveground biomass at maturity";"Agronomical traits";"All above-ground biomass at maturity.";"Biological yield";"BM";"AGBM, BMMat, BIOMAS";"Plant";"Aboveground biomass at maturity";;;"CO_321:0000229";"BM Measurement";"Measurement";"Cut all aboveground biomass in a predetermined area (A). Avoid border effects by sampling away from edges of plot. Biomass as other yield components can be calculated or measured individually (Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012), decide which method suit better for your objectives.";;"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012";"CO_321:0000806";"kg/plot";"Numerical";"3.0";"1.0";"6.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001040";"AcdTol_E_1to5";"ACDTOL _1_5";"Trial evaluation";"DS15-DS65";;"BMS_29004";"CIMMYT";"Rosemary Shrestha, Julian Pietragalla";"23-sept-14";"EN";"Wheat";"CO_321:0000078";"Acid soil tolerance";"Abiotic stress traits";"Plant tolerance to acid soil.";;"AcdTol";;"Plant";"Acid soil tolerance";;;"CO_321:0000299";"AcdTol  Estimation";"Estimation";"Observe the growth of plants per plot/entry in a low pH (acid) soil field and rate the tolerance.";;"Reynolds et al., 2001 (Ch. 15)";"CO_321:0000464";"1-5 TOL scale";"Ordinal";"1.0";;;;"1= highly susceptible";"4= tolerant";"5= highly tolerant";"2= susceptible";"3= intermediate";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001041";"AgrScr_E_0to9";"AGRSCR_0_9";"Nursery/Trial evaluation";"Generally DS69-DS81";;"BMS_23052";"CIMMYT";"Rosemary Shrestha, Julian Pietragalla";"25-oct-15";"EN";"Wheat";"CO_321:0000162";"Agronomic score";"Agronomical traits";"Rating of overall agronomic attributes and health of plants.";"Phenotypic acceptability";"AgrScr";"AGRSCR";"Plant";"Phenotypic acceptability";;;"CO_321:0000351";"AgrScr Estimation";"Estimation";"For agronomic score observe visually detectable signs of factors limiting yields and rate.";;;"CO_321:0000885";"0-9 scoring scale";"Ordinal";"1.0";;;;"0= very poor (VP)";"3= poor to fair (P-F)";"4= fair (F)";"1= very poor to poor (VP-P)";"2= poor (P)";"7= good to very good (G-VG)";"8= very good (VG)";"5= fair to good (F-G)";"6= good (G)";"9= excellent (E)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001042";"AgrScr_E_1to9";"AGRSCR_1_9";"Nursery/Trial evaluation";"Generally DS69-DS81";;"BMS_23051";"CIMMYT";"Rosemary Shrestha, Julian Pietragalla";"25-oct-15";"EN";"Wheat";"CO_321:0000162";"Agronomic score";"Agronomical traits";"Rating of overall agronomic attributes and health of plants.";"Phenotypic acceptability";"AgrScr";"AGRSCR";"Plant";"Phenotypic acceptability";;;"CO_321:0000351";"AgrScr Estimation";"Estimation";"For agronomic score observe visually detectable signs of factors limiting yields and rate.";;;"CO_321:0000884";"1-9 scoring scale";"Ordinal";"1.0";;;;"1= very poor (VP)";"4= poor to fair (P-F)";"5= fair (F)";"2= very poor to poor (VP-P)";"3= poor (P)";"8= good to very good (G-VG)";"9= very good (VG)";"6= fair to good (F-G)";"7= good (G)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001043";"AgrScr_E_1to5";"AGRSCR_1_5";"Nursery/Trial evaluation";"Generally DS69-DS81";;"BMS_23050";"CIMMYT, T3";"Rosemary Shrestha, Julian Pietragalla, Jean-Luc Jannink";"21-dec-18";"EN";"Wheat";"CO_321:0000162";"Agronomic score";"Agronomical traits";"Rating of overall agronomic attributes and health of plants.";"Phenotypic acceptability";"AgrScr";"AGRSCR";"Plant";"Phenotypic acceptability";;;"CO_321:0000351";"AgrScr Estimation";"Estimation";"For agronomic score observe visually detectable signs of factors limiting yields and rate.";;;"CO_321:0000462";"1-5 scoring scale";"Ordinal";"1.0";;;;"1= very poor (VP)";"4= good (G)";"5= very good (VG)";"2= poor (P)";"3= fair (F)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
